tconst,title,primaryTitle,originalTitle,startYear,runtimeMinutes,genre1,genre2,primaryName
tt0082517,History of the World: Part I,History of the World: Part I,History of the World: Part I,1981.0,92,Comedy,History,Mel Brooks
tt0082517,Jews in Space,History of the World: Part I,History of the World: Part I,1981.0,92,Comedy,History,Mel Brooks
tt0082517,The Future,History of the World: Part I,History of the World: Part I,1981.0,92,Comedy,History,Mel Brooks
tt0082517,The French Revolution,History of the World: Part I,History of the World: Part I,1981.0,92,Comedy,History,Mel Brooks
tt0082517,Prehistoric Man,History of the World: Part I,History of the World: Part I,1981.0,92,Comedy,History,Mel Brooks
tt0082517,The Old Testament,History of the World: Part I,History of the World: Part I,1981.0,92,Comedy,History,Mel Brooks
tt0082517,The Ten Commandments,History of the World: Part I,History of the World: Part I,1981.0,92,Comedy,History,Mel Brooks
tt0082517,A Viking Funeral,History of the World: Part I,History of the World: Part I,1981.0,92,Comedy,History,Mel Brooks
tt0082517,The Dawn of Man,History of the World: Part I,History of the World: Part I,1981.0,92,Comedy,History,Mel Brooks
tt0082517,The Last Supper,History of the World: Part I,History of the World: Part I,1981.0,92,Comedy,History,Mel Brooks
tt0082517,The Spanish Inquisition,History of the World: Part I,History of the World: Part I,1981.0,92,Comedy,History,Mel Brooks
tt0082517,History of the World: Part II,History of the World: Part I,History of the World: Part I,1981.0,92,Comedy,History,Mel Brooks
tt0082517,The Bible,History of the World: Part I,History of the World: Part I,1981.0,92,Comedy,History,Mel Brooks
tt0094012,Spaceballs,Spaceballs,Spaceballs,1987.0,96,Adventure,Comedy,Mel Brooks
tt0094012,Planet Moron,Spaceballs,Spaceballs,1987.0,96,Adventure,Comedy,Mel Brooks
tt0094012,Spaceballs: The Video,Spaceballs,Spaceballs,1987.0,96,Adventure,Comedy,Mel Brooks
tt0089791,Pee-wee's Big Adventure,Pee-wee's Big Adventure,Pee-wee's Big Adventure,1985.0,91,Adventure,Comedy,Tim Burton
tt0094721,Beetlejuice,Beetlejuice,Beetle Juice,1988.0,92,Comedy,Fantasy,Tim Burton
